,property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
2078,1.0,48.0,5.0,7.0,3.0,0.0,2727.0,1.0,0.0,1.0,2.0,1.0,5.15
2079,0.0,63.0,2.0,2.0,2.0,4.0,1333.0,0.0,0.0,0.0,1.0,1.0,1.65
2080,0.0,35.0,3.0,4.0,2.0,0.0,1398.0,1.0,0.0,0.0,1.0,2.0,1.35
2081,0.0,38.0,3.0,3.0,2.0,4.0,778.0,0.0,0.0,0.0,1.0,1.0,0.5
2082,1.0,75.0,5.0,4.0,3.0,1.0,2700.0,0.0,0.0,0.0,1.0,2.0,6.0
2083,0.0,12.0,3.0,4.0,4.0,3.0,2100.0,1.0,0.0,1.0,0.0,0.0,2.1
2084,0.0,74.0,3.0,2.0,2.0,3.0,1350.0,0.0,0.0,0.0,1.0,2.0,1.1
2085,0.0,41.0,2.0,2.0,1.0,3.0,722.0,0.0,0.0,0.0,1.0,1.0,0.43
2086,0.0,2.0,4.0,4.0,4.0,0.0,2946.0,0.0,0.0,1.0,1.0,2.0,1.25
2087,0.0,95.0,3.0,3.0,3.0,1.0,1774.0,0.0,0.0,0.0,2.0,2.0,1.6
2088,0.0,88.0,4.0,4.0,4.0,3.0,2273.0,0.0,0.0,0.0,1.0,1.0,2.6
2089,0.0,89.0,4.0,4.0,3.0,3.0,2167.0,1.0,0.0,0.0,1.0,2.0,1.4
2090,0.0,69.0,3.0,3.0,4.0,3.0,2047.0,0.0,0.0,1.0,0.0,2.0,2.78
2091,0.0,23.0,1.0,1.0,2.0,0.0,722.0,0.0,0.0,0.0,2.0,2.0,0.56
2092,0.0,81.0,3.0,4.0,4.0,1.0,1600.0,1.0,0.0,1.0,2.0,0.0,2.1
2093,1.0,57.0,2.0,2.0,2.0,0.0,1449.0,0.0,0.0,0.0,1.0,1.0,2.95
2094,0.0,67.0,3.0,3.0,4.0,3.0,1650.0,0.0,0.0,0.0,1.0,2.0,2.6
2095,0.0,37.0,2.0,3.0,4.0,4.0,1299.0,0.0,0.0,0.0,2.0,0.0,0.7
2096,1.0,28.0,6.0,6.0,1.0,3.0,2844.0,0.0,1.0,1.0,2.0,2.0,10.85
2097,0.0,2.0,3.0,4.0,0.0,1.0,2480.0,0.0,0.0,0.0,1.0,2.0,1.0
2098,1.0,41.0,2.0,1.0,1.0,0.0,75.0,0.0,0.0,0.0,1.0,1.0,0.55
2099,1.0,34.0,4.0,4.0,2.0,0.0,1557.0,1.0,0.0,1.0,2.0,1.0,3.69
2100,0.0,91.0,3.0,4.0,3.0,3.0,2179.0,1.0,0.0,0.0,1.0,2.0,2.0
2101,0.0,9.0,3.0,4.0,4.0,3.0,1186.0,1.0,0.0,0.0,1.0,0.0,1.17
2102,1.0,18.0,5.0,5.0,2.0,2.0,1350.0,0.0,0.0,0.0,1.0,2.0,1.5
2103,0.0,75.0,2.0,2.0,3.0,3.0,1402.0,0.0,0.0,0.0,1.0,0.0,1.25
2104,0.0,69.0,3.0,3.0,2.0,3.0,200.0,0.0,0.0,0.0,1.0,1.0,1.2
2105,0.0,86.0,2.0,2.0,3.0,1.0,1231.0,0.0,0.0,0.0,2.0,2.0,0.9
2106,0.0,67.0,3.0,3.0,3.0,3.0,1081.0,0.0,0.0,1.0,2.0,2.0,1.7
2107,0.0,51.0,3.0,3.0,4.0,0.0,2491.0,1.0,0.0,0.0,0.0,2.0,2.65
2108,0.0,103.0,2.0,2.0,3.0,1.0,1175.97,0.0,0.0,0.0,1.0,1.0,1.05
2109,0.0,62.0,4.0,5.0,3.0,3.0,2534.0,1.0,0.0,1.0,0.0,2.0,3.7
2110,1.0,58.0,4.0,4.0,2.0,0.0,1728.0,1.0,0.0,1.0,1.0,2.0,3.49
2111,0.0,38.0,3.0,3.0,2.0,3.0,1699.0,0.0,0.0,0.0,2.0,0.0,1.65
2112,0.0,71.0,3.0,3.0,4.0,3.0,1845.0,0.0,0.0,1.0,2.0,0.0,1.8
2113,0.0,10.0,2.0,2.0,4.0,3.0,1204.0,0.0,0.0,1.0,0.0,2.0,0.8
2114,1.0,18.0,1.0,1.0,2.0,2.0,2000.0,0.0,0.0,0.0,1.0,1.0,1.7
2115,0.0,103.0,2.0,2.0,2.0,3.0,619.0,0.0,0.0,0.0,1.0,2.0,0.27
2116,1.0,84.0,1.0,1.0,1.0,0.0,556.0,0.0,0.0,0.0,1.0,2.0,0.45
2117,0.0,9.0,2.0,2.0,4.0,1.0,1120.0,0.0,0.0,0.0,0.0,1.0,0.87
2118,0.0,10.0,2.0,2.0,4.0,3.0,1236.0,0.0,0.0,0.0,2.0,2.0,0.88
2119,0.0,70.0,4.0,4.0,0.0,1.0,2556.0,0.0,0.0,0.0,1.0,2.0,1.85
2120,0.0,63.0,3.0,3.0,4.0,0.0,1595.0,1.0,0.0,1.0,0.0,0.0,2.04
2121,1.0,13.0,2.0,6.0,4.0,3.0,1215.0,0.0,0.0,0.0,1.0,2.0,2.1
2122,0.0,86.0,3.0,3.0,4.0,3.0,1929.0,1.0,0.0,2.0,0.0,0.0,2.25
2123,0.0,59.0,2.0,2.0,2.0,3.0,1244.0,0.0,0.0,0.0,1.0,2.0,2.2
2124,0.0,76.0,1.0,1.0,2.0,1.0,294.0,0.0,0.0,0.0,1.0,1.0,0.39
2125,0.0,27.0,3.0,4.0,4.0,2.0,3700.0,1.0,0.0,2.0,2.0,2.0,5.8
2126,0.0,86.0,2.0,2.0,2.0,3.0,1150.0,0.0,0.0,1.0,0.0,0.0,0.95
2127,0.0,97.0,2.0,3.0,2.0,3.0,1502.0,0.0,0.0,1.0,1.0,2.0,0.7
2128,0.0,37.0,3.0,3.0,3.0,3.0,1581.0,0.0,0.0,0.0,1.0,1.0,1.27
2129,0.0,11.0,3.0,2.0,0.0,3.0,1991.0,0.0,0.0,1.0,2.0,1.0,1.25
2130,0.0,88.0,4.0,4.0,4.0,1.0,2179.0,1.0,0.0,2.0,0.0,1.0,2.85
2131,1.0,48.0,3.0,4.0,2.0,0.0,2592.0,1.0,1.0,1.0,2.0,1.0,7.25
2132,0.0,103.0,3.0,2.0,4.0,1.0,1201.0,0.0,0.0,0.0,2.0,2.0,0.75
2133,0.0,6.0,4.0,6.0,4.0,3.0,2718.0,1.0,0.0,0.0,2.0,2.0,2.14
2134,0.0,35.0,2.0,2.0,2.0,4.0,1253.0,0.0,0.0,0.0,2.0,0.0,1.07
2135,0.0,91.0,3.0,3.0,3.0,4.0,2129.0,1.0,0.0,0.0,1.0,0.0,2.6
2136,1.0,16.0,5.0,5.0,3.0,3.0,7450.0,1.0,0.0,0.0,1.0,1.0,9.5
2137,1.0,41.0,4.0,4.0,4.0,2.0,1800.0,0.0,0.0,0.0,1.0,1.0,1.1
2138,0.0,10.0,3.0,3.0,3.0,3.0,1547.0,0.0,0.0,0.0,2.0,2.0,1.3
2139,0.0,2.0,3.0,3.0,4.0,0.0,1900.0,1.0,0.0,0.0,1.0,2.0,0.91
2140,0.0,9.0,3.0,4.0,3.0,3.0,1305.0,1.0,0.0,0.0,1.0,2.0,1.14
